% x,y position
% r,w radius and weight
% typ type of cell
% Tp persistence time
% rho density of radial actin filaments on cell body # / \mu m
% bi bound integrin within whole cell (to be gauged)
% cd cadherin on cell-cell contacts   (to be gauged)
% my myosin level                     (to be gauged)
% ps protrusivity, scales stochastic perturbation
%
% x       y     r    w    typ Tp    rho    bi     cd     my     ps
-19.17    0.17  1.27 1.27  1  116   8.16   1.00   1.00   1.00   2.00
-14.40    0.14  1.50 1.50  2  131   7.62   1.00   3.00   1.00   0.20
 -4.61    0.02  1.64 1.64  2  129   7.93   1.00   3.00   1.00   0.20
  0.37   -0.11  1.64 1.64  1  117   7.83   1.00   1.00   1.00   2.00
  9.72   -0.36  1.44 1.44  1  112   7.78   1.00   1.00   1.00   2.00
 14.52   -0.08  1.70 1.70  1  125   8.24   1.00   1.00   1.00   2.00
 19.01   -0.10  1.70 1.70  1  128   8.15   1.00   1.00   1.00   2.00
-16.78    4.29  1.80 1.80  1  129   8.37   1.00   1.00   1.00   2.00
-11.94    4.39  1.47 1.47  1  131   7.95   1.00   1.00   1.00   2.00
 -7.23    3.92  1.42 1.42  2  107   7.90   1.00   3.00   1.00   0.20
 -2.34    3.92  1.32 1.32  2  128   8.05   1.00   3.00   1.00   0.20
  2.31    4.08  1.50 1.50  2  113   7.76   1.00   3.00   1.00   0.20
  7.15    3.79  1.68 1.68  1  118   8.45   1.00   1.00   1.00   2.00
 12.08    4.57  1.31 1.31  1  128   7.83   1.00   1.00   1.00   2.00
-16.87   -4.00  1.47 1.47  1  114   7.67   1.00   1.00   1.00   2.00
 -2.42   -4.38  1.55 1.55  1  105   8.50   1.00   1.00   1.00   2.00
  2.30   -3.99  1.54 1.54  2  118   7.61   1.00   3.00   1.00   0.20
  7.24   -4.01  1.42 1.42  1  107   7.52   1.00   1.00   1.00   2.00
 11.92   -4.28  1.08 1.08  2  129   8.11   1.00   3.00   1.00   0.20
 16.87   -4.36  1.44 1.44  2  120   8.34   1.00   3.00   1.00   0.20
-14.07    8.53  1.68 1.68  1  129   8.84   1.00   1.00   1.00   2.00
 -4.33    8.65  1.61 1.61  1  111   7.09   1.00   1.00   1.00   2.00
  5.21    7.99  1.77 1.77  1  124   7.40   1.00   1.00   1.00   2.00
  9.72    8.01  1.45 1.45  2  111   8.26   1.00   3.00   1.00   0.20
 14.44    7.91  1.57 1.57  1  138   8.42   1.00   1.00   1.00   2.00
-14.45   -8.49  1.49 1.49  1  114   8.47   1.00   1.00   1.00   2.00
 -9.39   -8.20  1.79 1.79  1  133   8.48   1.00   1.00   1.00   2.00
-12.43   12.47  1.50 1.50  2  113   7.19   1.00   3.00   1.00   0.20
 -6.87   12.47  1.63 1.63  1  120   8.01   1.00   1.00   1.00   2.00
  2.55   12.29  1.43 1.43  2  131   7.85   1.00   3.00   1.00   0.20
  7.33   12.09  1.57 1.57  1  144   9.13   1.00   1.00   1.00   2.00
 11.99   12.84  1.42 1.42  1  131   8.50   1.00   1.00   1.00   2.00
-11.55  -12.84  1.73 1.73  1  103   8.34   1.00   1.00   1.00   2.00
  2.80  -12.85  1.78 1.78  1  124   7.85   1.00   1.00   1.00   2.00
 12.22  -12.19  1.61 1.61  2  117   8.07   1.00   3.00   1.00   0.20
 -4.47   16.52  1.21 1.21  2  132   7.73   1.00   3.00   1.00   0.20
  0.19   17.00  1.25 1.25  1  134   7.91   1.00   1.00   1.00   2.00
  4.60   16.96  1.49 1.49  2   96   8.06   1.00   3.00   1.00   0.20
  9.31   16.61  1.27 1.27  1  118   8.46   1.00   1.00   1.00   2.00
 -9.66  -16.51  1.61 1.61  2  106   7.86   1.00   3.00   1.00   0.20
  5.22  -16.84  1.66 1.66  1  130   7.96   1.00   1.00   1.00   2.00
% -9.26    0.29  1.58 1.58  1  109   7.55   1.00   1.00   1.00   1.00 % 3
%  5.09    0.05  1.68 1.68  1  122   8.38   2.00   1.00   1.00   1.00 % 6
% 16.86    3.85  1.54 1.54  1  138   7.99   1.00   1.00   1.00   1.00 % 17
%-12.10   -4.37  1.50 1.50  1  121   8.35   1.00   1.00   1.00   1.00 % 19
% -7.20   -4.54  1.45 1.45  1  114   8.37   1.00   1.00   1.00   1.00 % 20
% -9.83    8.60  1.45 1.45  1  116   8.22   1.00   1.00   1.00   1.00 % 27
%  0.37    8.28  1.49 1.49  1  130   8.40   1.00   1.00   1.00   1.00 % 29
% -4.52   -8.32  1.19 1.19  1  125   7.02   1.00   1.00   1.00   1.00 % 35
% -0.27   -8.17  1.65 1.65  1  125   7.95   1.00   1.00   1.00   1.00 % 36
%  5.19   -8.40  1.77 1.77  1  111   8.15   1.00   1.00   1.00   1.00 % 37
% 10.07   -8.19  1.38 1.38  1  109   8.10   1.00   1.00   1.00   1.00 % 38
% 14.12   -8.42  1.11 1.11  1  106   7.65   1.00   1.00   1.00   1.00 % 39
% -2.40   12.51  1.50 1.50  1  115   7.26   1.00   1.00   1.00   1.00 % 42
% -6.73  -12.57  1.35 1.35  1  124   7.46   1.00   1.00   1.00   1.00 % 47
% -2.49  -12.72  1.52 1.52  1  143   8.57   1.00   1.00   1.00   1.00 % 48
%  6.96  -12.83  1.81 1.81  1  127   8.12   1.00   1.00   1.00   1.00 % 50
% -9.70   16.25  1.32 1.32  1  128   8.21   1.00   1.00   1.00   1.00 % 52
% -5.26  -16.95  1.93 1.93  1  134   7.73   1.00   1.00   1.00   1.00 % 58
% -0.17  -16.54  1.60 1.60  1  118   9.06   1.00   1.00   1.00   1.00 % 59
%  9.43  -16.38  1.68 1.68  1  131   7.54   1.00   1.00   1.00   1.00 % 61
