% mean local velocity field arround single cell
% x y    vx vy v
-9.500 -9.500   NaN NaN NaN
-9.500 -9.000   NaN NaN NaN
-9.500 -8.500   NaN NaN NaN
-9.500 -8.000   NaN NaN NaN
-9.500 -7.500   NaN NaN NaN
-9.500 -7.000   NaN NaN NaN
-9.500 -6.500   NaN NaN NaN
-9.500 -6.000   NaN NaN NaN
-9.500 -5.500   NaN NaN NaN
-9.500 -5.000   NaN NaN NaN
-9.500 -4.500   NaN NaN NaN
-9.500 -4.000   NaN NaN NaN
-9.500 -3.500   NaN NaN NaN
-9.500 -3.000   NaN NaN NaN
-9.500 -2.500   NaN NaN NaN
-9.500 -2.000   NaN NaN NaN
-9.500 -1.500   NaN NaN NaN
-9.500 -1.000   NaN NaN NaN
-9.500 -0.500   NaN NaN NaN
-9.500 0.000   NaN NaN NaN

-9.000 -9.500   NaN NaN NaN
-9.000 -9.000   NaN NaN NaN
-9.000 -8.500   NaN NaN NaN
-9.000 -8.000   NaN NaN NaN
-9.000 -7.500   NaN NaN NaN
-9.000 -7.000   NaN NaN NaN
-9.000 -6.500   NaN NaN NaN
-9.000 -6.000   NaN NaN NaN
-9.000 -5.500   NaN NaN NaN
-9.000 -5.000   NaN NaN NaN
-9.000 -4.500   NaN NaN NaN
-9.000 -4.000   NaN NaN NaN
-9.000 -3.500   NaN NaN NaN
-9.000 -3.000   NaN NaN NaN
-9.000 -2.500   NaN NaN NaN
-9.000 -2.000   NaN NaN NaN
-9.000 -1.500   NaN NaN NaN
-9.000 -1.000   NaN NaN NaN
-9.000 -0.500   NaN NaN NaN
-9.000 0.000   NaN NaN NaN

-8.500 -9.500   NaN NaN NaN
-8.500 -9.000   NaN NaN NaN
-8.500 -8.500   NaN NaN NaN
-8.500 -8.000   NaN NaN NaN
-8.500 -7.500   NaN NaN NaN
-8.500 -7.000   NaN NaN NaN
-8.500 -6.500   NaN NaN NaN
-8.500 -6.000   NaN NaN NaN
-8.500 -5.500   NaN NaN NaN
-8.500 -5.000   NaN NaN NaN
-8.500 -4.500   NaN NaN NaN
-8.500 -4.000   NaN NaN NaN
-8.500 -3.500   NaN NaN NaN
-8.500 -3.000   NaN NaN NaN
-8.500 -2.500   NaN NaN NaN
-8.500 -2.000   NaN NaN NaN
-8.500 -1.500   NaN NaN NaN
-8.500 -1.000   NaN NaN NaN
-8.500 -0.500   NaN NaN NaN
-8.500 0.000   NaN NaN NaN

-8.000 -9.500   NaN NaN NaN
-8.000 -9.000   NaN NaN NaN
-8.000 -8.500   NaN NaN NaN
-8.000 -8.000   NaN NaN NaN
-8.000 -7.500   NaN NaN NaN
-8.000 -7.000   NaN NaN NaN
-8.000 -6.500   NaN NaN NaN
-8.000 -6.000   NaN NaN NaN
-8.000 -5.500   NaN NaN NaN
-8.000 -5.000   NaN NaN NaN
-8.000 -4.500   NaN NaN NaN
-8.000 -4.000   NaN NaN NaN
-8.000 -3.500   NaN NaN NaN
-8.000 -3.000   NaN NaN NaN
-8.000 -2.500   NaN NaN NaN
-8.000 -2.000   NaN NaN NaN
-8.000 -1.500   NaN NaN NaN
-8.000 -1.000   NaN NaN NaN
-8.000 -0.500   NaN NaN NaN
-8.000 0.000   NaN NaN NaN

-7.500 -9.500   NaN NaN NaN
-7.500 -9.000   NaN NaN NaN
-7.500 -8.500   NaN NaN NaN
-7.500 -8.000   NaN NaN NaN
-7.500 -7.500   NaN NaN NaN
-7.500 -7.000   NaN NaN NaN
-7.500 -6.500   NaN NaN NaN
-7.500 -6.000   NaN NaN NaN
-7.500 -5.500   NaN NaN NaN
-7.500 -5.000   NaN NaN NaN
-7.500 -4.500   NaN NaN NaN
-7.500 -4.000   NaN NaN NaN
-7.500 -3.500   NaN NaN NaN
-7.500 -3.000   NaN NaN NaN
-7.500 -2.500   NaN NaN NaN
-7.500 -2.000   NaN NaN NaN
-7.500 -1.500   NaN NaN NaN
-7.500 -1.000   NaN NaN NaN
-7.500 -0.500   NaN NaN NaN
-7.500 0.000   NaN NaN NaN

-7.000 -9.500   NaN NaN NaN
-7.000 -9.000   NaN NaN NaN
-7.000 -8.500   NaN NaN NaN
-7.000 -8.000   NaN NaN NaN
-7.000 -7.500   NaN NaN NaN
-7.000 -7.000   NaN NaN NaN
-7.000 -6.500   NaN NaN NaN
-7.000 -6.000   NaN NaN NaN
-7.000 -5.500   NaN NaN NaN
-7.000 -5.000   NaN NaN NaN
-7.000 -4.500   NaN NaN NaN
-7.000 -4.000   NaN NaN NaN
-7.000 -3.500   NaN NaN NaN
-7.000 -3.000   NaN NaN NaN
-7.000 -2.500   NaN NaN NaN
-7.000 -2.000   NaN NaN NaN
-7.000 -1.500   NaN NaN NaN
-7.000 -1.000   NaN NaN NaN
-7.000 -0.500   NaN NaN NaN
-7.000 0.000   NaN NaN NaN

-6.500 -9.500   NaN NaN NaN
-6.500 -9.000   NaN NaN NaN
-6.500 -8.500   NaN NaN NaN
-6.500 -8.000   NaN NaN NaN
-6.500 -7.500   NaN NaN NaN
-6.500 -7.000   NaN NaN NaN
-6.500 -6.500   NaN NaN NaN
-6.500 -6.000   NaN NaN NaN
-6.500 -5.500   NaN NaN NaN
-6.500 -5.000   NaN NaN NaN
-6.500 -4.500   NaN NaN NaN
-6.500 -4.000   NaN NaN NaN
-6.500 -3.500   NaN NaN NaN
-6.500 -3.000   NaN NaN NaN
-6.500 -2.500   NaN NaN NaN
-6.500 -2.000   NaN NaN NaN
-6.500 -1.500   NaN NaN NaN
-6.500 -1.000   NaN NaN NaN
-6.500 -0.500   NaN NaN NaN
-6.500 0.000   NaN NaN NaN

-6.000 -9.500   NaN NaN NaN
-6.000 -9.000   NaN NaN NaN
-6.000 -8.500   NaN NaN NaN
-6.000 -8.000   NaN NaN NaN
-6.000 -7.500   NaN NaN NaN
-6.000 -7.000   NaN NaN NaN
-6.000 -6.500   NaN NaN NaN
-6.000 -6.000   NaN NaN NaN
-6.000 -5.500   NaN NaN NaN
-6.000 -5.000   NaN NaN NaN
-6.000 -4.500   NaN NaN NaN
